title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url
Lagunitas IPA,IPA,6.2,36.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/lagunitas-ipa.36_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-ipa.36
Lagunitas Daytime,IPA,4.0,36.0,Bottle,True,2.29,https://www.beerwulf.com/globalassets/lagunitas-daytime_3_03.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-daytime.36
Brouwerij de Brabandere Petrus Cherry Chocolate Nitro Quad,Quadrupel Beer,8.5,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/brouwerij-de-brabandere-petrus-cherry-chocolate-nitro-quad_2_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-de-brabandere-petrus-cherry-chocolate-nitro-quad-24f6f986
Oedipus Panty,Porter & Stout,6.0,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/oedipus-panty.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-panty2
Texels Skuumkoppe,German Wheat Beer,6.0,30.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/texels-skuumkoppe.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/texels-skuumkoppe.3
Texels Tripel,Tripel Beer,8.5,30.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/texels-tripel.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/texels-tripel.3
Ninkasi Blanche,White Beer,4.8,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/ninkasi-blanche.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-blanche.33
Beavertown Lupuloid,IPA,6.7,33.0,Can,True,2.89,https://www.beerwulf.com/globalassets/beavertown-lupuloid.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-lupuloid.33
La Cristal IPA du Mont Blanc,IPA,4.7,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/la-cristal-ipa-du-mont-blanc.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-cristal-ipa-du-mont-blanc.33
Oedipus Gaia IPA,IPA,7.0,33.0,Bottle,True,3.19,https://www.beerwulf.com/globalassets/oedipus-gaia-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-gaia-ipa2
Pietra,Lager,6.0,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/pietra.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/pietra.33
Bintang,Lager,4.7,33.0,Bottle,True,2.29,https://www.beerwulf.com/globalassets/bintang.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/bintang2
Red Stripe,Lager,4.7,33.0,Bottle,True,1.69,https://www.beerwulf.com/globalassets/red-stripe.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/red-stripe-red-stripe.33
Dos Equis Lager Especial,Lager,4.5,36.0,Bottle,True,1.79,https://www.beerwulf.com/globalassets/dos-equis-lager-especial_beer_15851_0.png,https://www.beerwulf.com/en-gb/p/beers/dos-equis-lager-especial-bottle-.36
Oedipus Pilsner,Pilsner & Hoppy Lager,5.0,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/oedipus-pilsner.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-pilsner.33
Mort Subite Kriek Lambic,Fruit Beer,4.0,25.0,Bottle,True,1.89,https://www.beerwulf.com/globalassets/mort-subite-kriek-lambic.25_14867_0.png,https://www.beerwulf.com/en-gb/p/beers/mort-subite-kriek-lambic-bottle-.25
Brand Weizen,German Wheat Beer,5.1,30.0,Bottle,True,1.89,https://www.beerwulf.com/globalassets/brand-weizen.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brand-weizen2
Tiger Lager,Lager,5.0,33.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/tiger_2_0.png,https://www.beerwulf.com/en-gb/p/beers/tiger.33
Desperados,Lager,5.9,33.0,Bottle,True,1.89,https://www.beerwulf.com/globalassets/desperados.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/desperados.33
Orval,Blond Beer,6.2,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/orval.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/orval2
Rochefort 8',Quadrupel Beer,9.2,33.0,Bottle,True,3.39,https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/rochefort-82
St. Feuillien Blond,Blond Beer,7.0,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/st-feuillien-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-blond.33
Zundert Trappist 10,Quadrupel Beer,10.0,33.0,Bottle,True,3.69,https://www.beerwulf.com/globalassets/zundert-trappist-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/zundert-trappist-10.33
Paljas Blond,Blond Beer,6.0,33.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/paljas-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/paljas-blond.33
Vedett Extra White,White Beer,4.7,33.0,Bottle,True,2.29,https://www.beerwulf.com/globalassets/vedett-extra-white.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/vedett-extra-white.33
Gouden Carolus Tripel,Tripel Beer,9.0,33.0,Bottle,True,3.19,https://www.beerwulf.com/globalassets/gouden-carolus-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/gouden-carolus-tripel.33
Kwaremont Pittig Blond,Blond Beer,6.6,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/kwaremont-pittig-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kwaremont-pittig-blond2
St. Feuillien Grand Cru,Blond Beer,9.5,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/st-feuillien-grand-cru.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-grand-cru
Rochefort 6',Dubbel Beer,7.5,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/rochefort-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/rochefort-62
St. Bernardus Pater 6,Dubbel Beer,6.7,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/st.-bernardus-pater-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st2.-bernardus-pater-6
Pistonhead Amber,Amber & Red Ale,6.0,33.0,Can,True,2.39,https://www.beerwulf.com/globalassets/pistonhead-amber.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/pistonhead-amber.33
Oedipus Mannenliefde,Saison Beer,6.0,33.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/oedipus-mannenliefde.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-mannenliefde.33
Brouwerij 't IJ IJwit,White Beer,6.5,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/brouwerij-t-ij-ijwit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-t-ij-ijwit
Lagunitas A Little Sumpin' Sumpin',IPA,7.5,36.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/lagunitas-a-little-sumpin-sumpin.36_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-a-little-sumpin-sumpin2
Affligem Dubbel,Dubbel Beer,6.8,30.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/affligem-dubbel.3_1_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-dubbel.3
Affligem Tripel,Tripel Beer,9.0,30.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png,https://www.beerwulf.com/en-gb/p/beers/affligem-tripel2
vandeStreek Playground IPA Alcoholvrij,IPA,0.5,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/vandestreek-playground-ipa-alcoholvrij.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/vandestreek-playground-ipa-alcoholvrij2
Hoppebräu Helles,Lager,4.9,50.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/hoppebrau-helles.5_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hoppebrau-helles.5
Brasserie De Sutter Brin de Folie,Blond Beer,6.5,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/brasserie-de-sutter-brin-de-folie.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/brasserie-de-sutter-brin-de-folie.33
Kapittel Watou Triple Abt 10,Tripel Beer,10.0,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/kapittel-watou-triple-abt-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-triple-abt-10.33
Paulaner Weissbier,German Wheat Beer,5.5,50.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/paulaner-hefeweizen-naturtrub.5_1_0.png,https://www.beerwulf.com/en-gb/p/beers/paulaner-hefeweizen-naturtrub
De Molen Vuur & Vlam IPA,IPA,6.2,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/de-molen-vuur--vlam-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-molen-vuur--vlam-ipa.33
La Trappe Blond,Blond Beer,6.5,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/la_trappe_trappist_blond.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-blond33
Brouwerij Noordt Noordtsingle,Lager,4.5,33.0,Bottle,True,2.79,https://www.beerwulf.com/globalassets/brouwerij-noordt-noordtsingel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-noordt-noordtsingle2
Jopen Jacobus RPA,Pale Ale,5.5,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/jopen-jacobus-rpa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/jopen-jacobus-rpa2
BrewDog Dead Pony Club Can,Pale Ale,3.8,33.0,Can,True,2.49,https://www.beerwulf.com/globalassets/brewdog-dead-pony-club-can.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-dead-pony-club-can.33
Beavertown Bloody Ell,IPA,5.5,33.0,Can,True,2.89,https://www.beerwulf.com/globalassets/beavertown-bloody-ell2.33_1_0,https://www.beerwulf.com/en-gb/p/beers/beavertown-bloody-ell.33
