title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Puntigamer - 8L BLADE Keg,Lager,5.1,800.0,BladeKeg,True,31.99,https://www.beerwulf.com/globalassets/puntigamer---blade-keg_beer_22318_02.png,https://www.beerwulf.com/en-gb/p/beers/puntigamer-8l-keg,05-Jun-2022 11:05:35
Edelweiss Wheat - 8L BLADE Keg,German Wheat Beer,4.9,800.0,BladeKeg,True,33.99,https://www.beerwulf.com/globalassets/edelweiss-wheat_beer_23557_02.png,https://www.beerwulf.com/en-gb/p/beers/edelweiss-wheat-8l-keg,05-Jun-2022 11:05:35
The SUB Compact Heineken Starter Pack ,,,800.0,,True,114.0,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/packs/sub_bundle_sub_compact_4xhk.png,https://www.beerwulf.com/en-gb/p/beercases/thesubcompactblack-4heineken,05-Jun-2022 11:05:35
Brixton Reliance - 8L BLADE Keg,Pale Ale,4.2,800.0,BladeKeg,True,35.99,https://www.beerwulf.com/globalassets/brixton-reliance-blade-keg_beer_23851_03.png,https://www.beerwulf.com/en-gb/p/beers/brixton-reliance-8l-keg,05-Jun-2022 11:05:35
Lagunitas IPA - 8L BLADE Keg,IPA,6.2,800.0,BladeKeg,True,39.99,https://www.beerwulf.com/globalassets/lagunitas-ipa---blade-keg_beer_22312_02.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-ipa-8l-keg,05-Jun-2022 11:05:35
Brixton Low Voltage - 2L SUB Keg,IPA,4.3,200.0,Torp,True,15.99,https://www.beerwulf.com/globalassets/brixton-low-voltage-torp-v2_beer_24031_02.png,https://www.beerwulf.com/en-gb/p/beers/brixton-low-voltage-2l-keg,05-Jun-2022 11:05:35
Paulaner Weissbier - 2L SUB Keg,German Wheat Beer,5.5,200.0,Torp,True,12.49,https://www.beerwulf.com/globalassets/-paulaner-weissbier---sub-keg-v2_beer_24035_0.png,https://www.beerwulf.com/en-gb/p/beers/paulaner-weissbier-2l--keg,05-Jun-2022 11:05:35
Newcastle Brown Ale - 2L SUB Keg,Brown Ale,4.7,200.0,Torp,True,9.99,https://www.beerwulf.com/globalassets/new-castle-brown-ale-2l-keg_1_04.png,https://www.beerwulf.com/en-gb/p/beers/newcastle-brown-ale-2l-keg,05-Jun-2022 11:05:35
Affligem Tripel - 2L SUB Keg,Tripel Beer,8.5,200.0,Torp,True,13.99,https://www.beerwulf.com/globalassets/affligem-tripel---sub-keg-v2_beer_24048_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-tripel-2l--keg,05-Jun-2022 11:05:35
Hapkin - 2L SUB Keg,Blond Beer,8.5,200.0,Torp,True,14.99,https://www.beerwulf.com/globalassets/hapkin---sub-keg-v2_beer_24052_0.png,https://www.beerwulf.com/en-gb/p/beers/hapkin--2l-keg,05-Jun-2022 11:05:35
