BeerID,Title,Style,Container Type,InStock Status,Image Link,Details Link,Alcohol %,Volume (cl),Price (£)
B1000,Lagunitas IPA,IPA,Bottle,True,https://www.beerwulf.com/globalassets/lagunitas-ipa.36_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-ipa.36,6.2,36.0,2.79
B1001,Lagunitas Daytime,IPA,Bottle,True,https://www.beerwulf.com/globalassets/lagunitas-daytime_3_03.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-daytime.36,4.0,36.0,2.29
B1002,Brouwerij de Brabandere Petrus Cherry Chocolate Nitro Quad,Quadrupel Beer,Bottle,True,https://www.beerwulf.com/globalassets/brouwerij-de-brabandere-petrus-cherry-chocolate-nitro-quad_2_1.png,https://www.beerwulf.com/en-gb/p/beers/brouwerij-de-brabandere-petrus-cherry-chocolate-nitro-quad-24f6f986,8.5,33.0,2.99
B1003,Oedipus Panty,Porter & Stout,Bottle,True,https://www.beerwulf.com/globalassets/oedipus-panty.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-panty2,6.0,33.0,2.99
B1004,Texels Skuumkoppe,German Wheat Beer,Bottle,True,https://www.beerwulf.com/globalassets/texels-skuumkoppe.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/texels-skuumkoppe.3,6.0,30.0,2.79
B1005,Texels Tripel,Tripel Beer,Bottle,True,https://www.beerwulf.com/globalassets/texels-tripel.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/texels-tripel.3,8.5,30.0,2.99
B1006,Pietra,Lager,Bottle,True,https://www.beerwulf.com/globalassets/pietra.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/pietra.33,6.0,33.0,2.69
B1007,Bintang,Lager,Bottle,True,https://www.beerwulf.com/globalassets/bintang.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/bintang2,4.7,33.0,2.29
B1008,Red Stripe,Lager,Bottle,True,https://www.beerwulf.com/globalassets/red-stripe.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/red-stripe-red-stripe.33,4.7,33.0,1.69
B1009,Dos Equis Lager Especial,Lager,Bottle,True,https://www.beerwulf.com/globalassets/dos-equis-lager-especial_beer_15851_0.png,https://www.beerwulf.com/en-gb/p/beers/dos-equis-lager-especial-bottle-.36,4.5,36.0,1.79
B1010,Oedipus Pilsner,Pilsner & Hoppy Lager,Bottle,True,https://www.beerwulf.com/globalassets/oedipus-pilsner.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-pilsner.33,5.0,33.0,2.79
